N,train_seed,data_seed,gen_final,mem_final,gap_log10_final,f_mem_final,tau_gen_steps,tau_mem_steps,wall_time_sec,run_dir
100,0,0,5.366191864013672,9.544880867004395,-0.25010431570747627,0.0,20000,15000,33.26209807395935,results/scaling/N_00100_trainseed_0_dataseed_0
500,0,0,9.414695739746094,11.872322082519531,-0.10072938077781657,0.0,20000,,35.256335973739624,results/scaling/N_00500_trainseed_0_dataseed_0
1000,0,0,10.61817741394043,12.636772155761719,-0.0755861776400184,0.0,20000,,34.014467000961304,results/scaling/N_01000_trainseed_0_dataseed_0
100,1,1,5.138857841491699,10.144989967346191,-0.29538501811394413,0.0,20000,,33.688666105270386,results/scaling/N_00100_trainseed_1_dataseed_1
500,1,1,9.76843547821045,12.248961448669434,-0.09827425550688085,0.0,15000,,33.017773151397705,results/scaling/N_00500_trainseed_1_dataseed_1
1000,1,1,10.799129486083984,12.640954971313477,-0.06839113574162403,0.0,10000,,32.38081622123718,results/scaling/N_01000_trainseed_1_dataseed_1
100,2,2,6.138678550720215,9.395261764526367,-0.184833992298018,0.0625,15000,,30.838613986968994,results/scaling/N_00100_trainseed_2_dataseed_2
500,2,2,9.823980331420898,12.199713706970215,-0.09406215482461444,0.0,15000,,32.398686170578,results/scaling/N_00500_trainseed_2_dataseed_2
1000,2,2,10.733179092407227,12.791072845458984,-0.07617859625868606,0.0,10000,,32.20564794540405,results/scaling/N_01000_trainseed_2_dataseed_2
